3,1
neustadt nord,aachener glacis
neustadt sd,aachener str
lindenthal,aachener str
neustadt sd,aachener str
lindenthal,aachener str
lindenthal,aachener str
braunsfeld,aachener str
lindenthal,aachener str
braunsfeld,aachener str
braunsfeld,aachener str
mngersdorf,aachener str
mngersdorf,aachener str
mngersdorf,aachener str
junkersdorf,aachener str
weiden,aachener str
weiden,aachener str
weiden,aachener str
weiden,aachener str
weiden,aachener str
weiden,aachener str
porz,aachener str porz
stammheim,aarestr
seeberg,abendrothstr
merheim,abshofstr
lindenthal,abt herwegen str
zndorf,abtsweg
altstadt sd,achtergchen
altstadt sd,achterstr
rodenkirchen,ackerhummelweg
buchheim,ackerstr
junkersdorf,ackerwinde
holweide,adalbert stifter str
rodenkirchen,adalbert stifter weg
hhenberg,adalbertstr
eil,adam linden str
mlheim,adamsstr
mlheim,adam stegerwald str
rodenkirchen,adamstr
nippes,adam wrede str
zndorf,adelmutstr
rondorf,adlerstr
rondorf,adlerstr
rondorf,adlerstr
vogelsang,adlerweg
altstadt nord,adolf fischer str
ossendorf,adolf grimme allee
libur,adolf kalsbach str
stammheim,adolf kober str
rodenkirchen,adolf menzel str
wahn,adolph kolping str
deutz,adolphstr
westhoven,adrian kiels str
widdersdorf,adrian meller str
neustadt nord,aduchtstr
slz,aegidienberger str
dnnwald,aeltgen dnwald str
humboldt gremberg,aggerstr
lvenich,aggerstr lvenich
ensen,aggerweg
slz,gidiusstr
neustadt sd,agilolfstr
altstadt sd,agrippastr
altstadt sd,agrippastr
neustadt sd,agrippinaufer
neustadt sd,agrippinawerft
esch auweiler,ahornstr
bickendorf,ahornweg
grengel,ahornweg grengel
grengel,ahornweg grengel
srth,ahornweg srth
widdersdorf,ahornweg widdersdorf
mngersdorf,hrenweg
lvenich,ahrstr lvenich
rodenkirchen,ahrstr rodenkirchen
hhenhaus,ahrweg
marienburg,ahrweilerstr
esch auweiler,akazienstr
bickendorf,akazienweg
bickendorf,akazienweg
bickendorf,akazienweg
vogelsang,akazienweg
grengel,akazienweg grengel
srth,akazienweg srth
widdersdorf,akazienweg widdersdorf
seeberg,akeleiweg
junkersdorf,akeleiweg junkersdorf
rondorf,aladinstr
deutz,alarichstr
bocklemnd mengenich,alban berg weg
mauenheim,alberichhof
wahnheide,alberichshof
kalk,albermannstr
weiden,albert kindle str
weiden,albert kindle str
raderthal,albert schweitzer str
wahn,albert schweitzer str wahn
zndorf,albert tobias weg
lindenthal,albertus magnus platz
altstadt nord,albertusstr
altstadt nord,albertusstr
wei,albertusweg
widdersdorf,albin hnseroth weg
wahn,albin kbis str
neustadt nord,albrecht drer platz
rodenkirchen,albrecht drer str
dnnwald,albusweg
deutz,alemannenstr
gremberghoven,alemannenstr gremberghoven
rodenkirchen,alemannenstr rodenkirchen
longerich,alexander petfi platz
merkenich,alexander von wacker platz
bilderstckchen,alexe altenkirch str
altstadt sd,alexianerstr
zndorf,alfons kafka str
junkersdorf,alfons nowak str
ensen,alfred delp str
bocklemnd mengenich,alfred dblin str
porz,alfred moritz platz
porz,alfred nobel str
deutz,alfred schtte allee
deutz,alfred schtte allee
poll,alfred schtte allee
poll,alfred schtte allee
poll,alfred schtte allee
flittard,alfred werner str
zollstock,alfterstr
niehl,allensteiner str
niehl,allensteiner str
rondorf,allensteiner str rondorf
altstadt nord,allerheiligenstr
poll,allerseelenstr
chorweiler,allerstr
merheim,aloeweg
lind,aloys boecker str
ehrenfeld,alpenerplatz
ehrenfeld,alpenerstr
lindweiler,alpenroder weg
seeberg,alpenrosenweg
lindenthal,alphons silbermann weg
flittard,alradstr
braunsfeld,alsdorfer str
deutz,alsenstr
zollstock,alstdter str
bilderstckchen,altbaumburgweg
bilderstckchen,altdahnweg
zndorf,alte apotheke
lind,alte blockstelle
meschenich,alte brhler str
meschenich,alte brhler str
libur,alte burgstr
libur,alte burgstr
ossendorf,alte escher str
meschenich,alte fischenicher str
meschenich,alte fischenicher str
rath heumar,alte forststr
zndorf,alte gasse
zndorf,alte gasse
wahnheide,alte heide
srth,alte kirchgasse
junkersdorf,alte klosterstr
grengel,alte klner str
meschenich,alte klnstr
wahnheide,alte magazinstr
altstadt sd,alte mauer am bach
worringen,alte neusser landstr
worringen,alte neusser landstr
wei,alte rheinstr
merkenich,alte rmerstr
merkenich,alte rmerstr
widdersdorf,alte sandkaul
worringen,alte str
worringen,alte str
widdersdorf,alte str widdersdorf
widdersdorf,alte str widdersdorf
altstadt nord,alte wallgasse
buchheim,alte wipperfrther str
neustadt sd,alteburger platz
altstadt sd,alteburger str
neustadt sd,alteburger str
neustadt sd,alteburger str
bayenthal,alteburger str
bayenthal,alteburger str
bayenthal,alteburger str
neustadt sd,alteburger wall
hhenhaus,altenauer weg
altstadt nord,altenberger str
eil,altenberger str eil
altstadt nord,altengrabengchen
heimersdorf,altenhofer weg
heimersdorf,altenhofer weg
ossendorf,altenhofstr
ostheim,alter deutzer postweg
gremberghoven,alter deutzer postweg
rath heumar,alter deutzer postweg
merheim,alter friedhofsweg
altstadt nord,alter markt
altstadt nord,alter markt
mngersdorf,alter militrring
deutz,alter mhlenweg
riehl,alter stammheimer weg
bilderstckchen,altleiningenweg
longerich,altonaer platz
longerich,altonaer str
mlheim,altstr
neustadt nord,alvenslebenstr
bilderstckchen,alzeyer str
mngersdorf,am ackerrain
merkenich,am alten brauhaus
zndorf,am alten brauhaus zndorf
altstadt nord,am alten posthof
nippes,am alten stellwerk
rath heumar,am alten turm
altstadt nord,am alten ufer
esch auweiler,am alten weiher
poll,am altenberger kreuz
zndorf,am anger
widdersdorf,am aspelkreuz
nippes,am ausbesserungswerk
roggendorf thenhoven,am bachhof
esch auweiler,am baggerfeld
wahn,am bahnhof
longerich,am balsamhof
altstadt sd,am bayenturm
altstadt sd,am bayenturm
slz,am beethovenpark
worringen,am bergerhof
elsdorf,am bergerhof elsdorf
zndorf,am berzenacker
bilderstckchen,am bilderstckchen
eil,am bitzenhuschen
ensen,am blauen stein ensen
rondorf,am blauen stein rondorf
rondorf,am blauen stein rondorf
rondorf,am blauen stein rondorf
fhlingen,am blutberg
blumenberg,am blutberg
rondorf,am bdinger hof
altstadt nord,am bollwerk
wahn,am brschsgarten
riehl,am botanischen garten
riehl,am botanischen garten
holweide,am bramhoff
esch auweiler,am braunsacker
bickendorf,am brunnenbogen
wahn,am bllesgarten
rath heumar,am burgacker
kalk,am brgerpark
weiden,am clarenhof
ossendorf,am coloneum
zndorf,am courts garten
wei,am damm
deutz,am deutzer stadtgarten
wahn,am distelkampsgarten
godorf,am domenhof
altstadt nord,am domhof
volkhoven weiler,am donatushof
dnnwald,am donewald
grengel,am dornbusch
rath heumar,am dreieck
neustadt sd,am duffesbach
heimersdorf,am eichelberg
hahnwald,am eichenwldchen
rondorf,am eifeltor
zollstock,am eifeltor
hhenhaus,am emberg
meschenich,am engeldorfer berg
weiden,am engelshof
esch auweiler,am entenpfuhl
godorf,am eulengarten
mlheim,am faulbach
roggendorf thenhoven,am feldgarten
flittard,am feldrain
srth,am feldrain srth
merkenich,am feldschlchen
hhenhaus,am flachsrosterweg
hhenhaus,am flachsrosterweg
hhenhaus,am flachsrosterweg
bickendorf,am fliederbusch
holweide,am flutgraben
junkersdorf,am frankenhain
altstadt nord,am frankenturm
worringen,am frohnweiher
widdersdorf,am fuchsgraben
mngersdorf,am gibbelsberg
rath heumar,am gieselbach
neuehrenfeld,am gleisdreieck
lindenthal,am gleueler bach
godorf,am godorfer kirchweg
widdersdorf,am golfpark
brck,am grfenhof
humboldt gremberg,am grauen stein
humboldt gremberg,am grauen stein
poll,am grauen stein
srth,am greinshof
lind,am grott
junkersdorf,am haelentor
altstadt sd,am hafenamt
wei,am hagelkreuz
bickendorf,am haselbusch
meschenich,am heckelchen
wahn,am heepsgarten
junkersdorf,am heidenberg
lvenich,am heidstamm
lvenich,am heidstamm
lvenich,am heidstamm
urbach,am heiligenhuschen urbach
widdersdorf,am heiligenhuschen widdersdorf
volkhoven weiler,am heiligenpfad
hahnwald,am hermannshof
seeberg,am hetzepetsch
meschenich,am hilgerskreuz
junkersdorf,am himmel
flittard,am hirschfu
brck,am hirschsprung
gremberghoven,am hochkreuz
altstadt nord,am hof
junkersdorf,am hof junkersdorf
rondorf,am hfchen
raderthal,am hfchen
merkenich,am hfenweg
bocklemnd mengenich,am hufenpfdchen
raderberg,am husholz
humboldt gremberg,am jgerhof
dnnwald,am jungholz
slz,am justizzentrum
dnnwald,am katzenberg
vingst,am kaulberg
lvenich,am keuschhof
hhenhaus,am kiefernwald
poll,am kielshof
wahn,am kindergarten
esch auweiler,am kirchberg
meschenich,am kirchhof
rondorf,am kirchweg
brck,am klausenberg
poll,am kleeacker
libur,am kleinen busch
weiden,am kliepesch
dnnwald,am klosterhof
dnnwald,am klosterhof
esch auweiler,am kchhof
meschenich,am klnberg
ehrenfeld,am klner brett
esch auweiler,am klner weg
merkenich,am knigsweg
rondorf,am konraderhof
poll,am kornfeld
meschenich,am kradepohl
wahn,am krausbaum
holweide,am krausen baum
meschenich,am kreuzweg
slz,am krieler dom
westhoven,am krumfingers hof
altstadt nord,am kmpchenshof
neustadt nord,am kmpchenshof
dnnwald,am kunstfeld
rath heumar,am kurtenwaldbach
fhlingen,am kutzpfdchen
wahn,am kuxgarten
langel,am langeler lido
bickendorf,am langen stein
